Account Name,Settle CCY,Swap ID,Reference Account ID,Settle Date,Cancel,ISIN,RIC,Security Description,Open Trade,Close Trade,Open Quantity,Close Quantity,Open Price,Close Price,Open Trade Value,Close Trade Value,Gross PnL,Open Commission,Close Commission,Net PnL
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100000C31,002252.SZ,SHANGHAI RAAS BLOOD PRODUCTS CO LTD COM,522143566,529899000,(10300),10300,1.0190,1.1019,(10495.32),11349.95,(854.63),0.00,0.00,(854.63)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100005212,688217.SS,SHANGHAI RIGHTONGENE BIOTECHNOLOGY CO LT,528909838,529902400,3988,(3988),2.0827,2.5968,8305.65,(10355.86),2050.21,0.00,0.00,2050.21
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003JL7,002949.SZ,SHENZHEN CAPOL INTERNATIONAL & ASSOCIATE,528909884,529898797,35200,(35200),1.4039,1.6098,49418.26,(56664.64),7246.39,0.00,0.00,7246.39
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100002FZ7,603228.SS,SHENZHEN KINWONG ELECTRONIC CO LTD COM S,525181191,529898848,(6100),6100,3.4381,3.9929,(20972.15),24356.54,(3384.39),0.00,0.00,(3384.39)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003T39,300832.SZ,SHENZHEN NEW INDUSTRIES BIOMEDICAL ENGIN,525181481,529902115,(4000),4000,9.4468,11.1372,(37787.30),44548.78,(6761.49),0.00,0.00,(6761.49)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003T39,300832.SZ,SHENZHEN NEW INDUSTRIES BIOMEDICAL ENGIN,523992122,529902115,(3900),3900,9.1438,11.1372,(35660.86),43435.07,(7774.21),0.00,0.00,(7774.21)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE0000016P6,600369.SS,SOUTHWEST SECURITIES CO LTD COM STK CNY,525613423,529898823,(20500),20500,0.4981,0.6932,(10211.25),14210.83,(3999.58),0.00,0.00,(3999.58)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE0000016P6,600369.SS,SOUTHWEST SECURITIES CO LTD COM STK CNY,526220388,529898823,(32700),32700,0.5003,0.6932,(16360.18),22668.01,(6307.83),0.00,0.00,(6307.83)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE1000018M7,300274.SZ,SUNGROW POWER SUPPLY CO LTD COM STK CNY,511558261,529899009,(2700),2700,9.6185,13.2650,(25969.90),35815.40,(9845.50),0.00,0.00,(9845.50)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100002136,300487.SZ,SUNRESIN NEW MATERIALS CO LTD COM STK CN,494935556,529898789,(900),900,7.0867,7.6931,(6378.04),6923.75,(545.70),0.00,0.00,(545.70)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100002136,300487.SZ,SUNRESIN NEW MATERIALS CO LTD COM STK CN,500990346,529898789,(1600),1600,6.9361,7.6931,(11097.78),12308.88,(1211.10),0.00,0.00,(1211.10)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE1000052W5,688663.SS,WINDSUN SCIENCE & TECHNOLOGY CO LTD COM,525181642,529898903,1569,(1569),2.3694,3.1401,3717.65,(4926.77),1209.13,0.00,0.00,1209.13
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100004P24,688303.SS,XINJIANG DAQO NEW ENERGY CO LTD COM STK,526554190,529899027,(3726),3726,2.7192,3.4270,(10131.84),12768.93,(2637.09),0.00,0.00,(2637.09)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE000000VG9,000807.SZ,YUNNAN ALUMINIUM CO LTD COM STK CNY 1,527613696,529898759,(1800),1800,1.7203,2.0664,(3096.60),3719.47,(622.87),0.00,0.00,(622.87)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100002WQ1,603331.SS,ZHEJIANG BAIDA PRECISION MANUFACTURING C,528910030,529898793,36000,(36000),1.2163,1.3738,43787.35,(49458.10),5670.75,0.00,0.00,5670.75
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE1000023M7,603338.SS,ZHEJIANG DINGLI MACHINERY CO LTD COM STK,527946470,529898790,(55500),55500,7.2424,8.3141,(401950.70),461431.46,(59480.76),0.00,0.00,(59480.76)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE000000WQ6,600160.SS,ZHEJIANG JUHUA CO LTD COM STK CNY 1,527280192,529898925,(32400),32400,2.3321,3.1628,(75558.58),102474.90,(26916.32),0.00,0.00,(26916.32)
